geneId:ID,name,:LABEL
ALDH3B2,ALDH3B2,Gene
ALDH3F1,ALDH3F1,Gene
ALDH4A1,ALDH4A1,Gene
ALDH5A1,ALDH5A1,Gene
ALDH6A1,ALDH6A1,Gene
ALDH7A1,ALDH7A1,Gene
ALDH7B4,ALDH7B4,Gene
ALDH8A1,ALDH8A1,Gene
ALDH9A1,ALDH9A1,Gene
ALDOA,ALDOA,Gene
ALDOB,ALDOB,Gene
ALDOC,ALDOC,Gene
ALE1,ALE1,Gene
ALE2,ALE2,Gene
ALF1,ALF1,Gene
ALF4,ALF4,Gene
ALF5,ALF5,Gene
ALG1,ALG1,Gene
ALG10,ALG10,Gene
ALG10B,ALG10B,Gene
ALG11,ALG11,Gene
ALG12,ALG12,Gene
ALG13,ALG13,Gene
ALG14,ALG14,Gene
ALG2,ALG2,Gene
ALG3,ALG3,Gene
ALG5,ALG5,Gene
ALG6,ALG6,Gene
ALG7,ALG7,Gene
ALG8,ALG8,Gene
ALG9,ALG9,Gene
ALK,ALK,Gene
ALK1,ALK1,Gene
ALK2,ALK2,Gene
